,ID,Num_Rooms,has_isolated,has_adjacent,Time_to_subway,Square_m2,Flat_floor,Max_floors,HouseType,Parking,rent,commsumm,deposit,comminc,renttime,prepayment,Renovation
9451,268765554,3,1,0,11,125.0,21,49,106839.39,167618.14,0.7489450172015188,0.0,-0.0050471729343585705,1,1,1,173624.09
9452,274671112,3,0,0,11,130.0,21,34,106839.39,167618.14,0.9049817307177876,0.0,-0.004734555496063033,1,1,1,173624.09
9453,274991438,4,0,0,11,140.0,19,35,106839.39,75981.08,1.1390368009921907,0.0,-0.004265629338619728,0,1,1,84298.8
9454,273572367,4,1,0,11,178.0,8,35,151494.07,167618.14,1.2950735145084595,0.0,-0.00395301190032419,1,1,1,173624.09
9455,272843697,4,1,0,11,140.0,24,34,106839.39,64696.19,1.373091871266594,0.0,-0.003796703181176422,1,1,1,173624.09
9456,269856298,4,0,0,11,190.0,9,30,151494.07,167618.14,1.4511102280247283,0.0,-0.0036403944620286535,0,1,1,84298.8
9457,274928775,4,0,0,11,160.0,12,49,106839.39,167618.14,1.6851652982991316,0.0,-0.003171468304585348,1,1,1,173624.09
9458,263102403,5,0,0,10,300.0,13,34,106839.39,167618.14,3.24553243346182,0.0,-4.529392162997688e-05,0,1,1,84298.8
9459,273774783,1,0,0,10,30.0,5,5,77524.52,75981.08,-0.4213303341704974,0.0,-0.007626266800296751,1,1,1,44493.82
9460,274472817,1,0,0,13,34.7,8,12,45290.64,75981.08,-0.4213303341704974,0.0,-0.007391803721575099,1,1,1,44493.82
9461,274877729,1,0,0,9,35.0,8,12,45066.84,64696.19,-0.3979248271430571,0.0,-0.007344911105830769,1,1,1,44493.82
9462,272223397,1,0,0,13,38.0,1,12,45290.64,75981.08,-0.3823211557914302,0.0,-0.00723549500242733,1,1,1,44493.82
9463,153121306,1,0,0,7,35.0,6,12,77524.52,64696.19,-0.3823211557914302,0.0,-0.007313649362001215,1,1,1,44493.82
9464,274032513,1,0,0,2,32.0,8,9,77524.52,75981.08,-0.3823211557914302,0.0,-0.007313649362001215,1,1,1,44493.82
9465,272607260,1,0,0,18,34.0,2,5,45290.64,75583.96,-0.36671748443980334,0.0,-0.007282387618171661,1,1,1,44493.82
